iter	Logloss
0	0.6778038224
1	0.6610956599
2	0.6459515422
3	0.6325409621
4	0.6210455382
5	0.6097059992
6	0.5987584397
7	0.58780636
8	0.5794892249
9	0.5701438055
10	0.5597263194
11	0.5520039931
12	0.5433073711
13	0.5358031046
14	0.5297933177
15	0.5224529862
16	0.51588786
17	0.5105900655
18	0.504186327
19	0.4993929761
20	0.493619876
21	0.4897575329
22	0.48534618
23	0.4825016155
24	0.4789517437
25	0.4755625923
26	0.4719489032
27	0.4683554356
28	0.4654604565
29	0.4630251553
30	0.4605018693
31	0.4585637883
32	0.4556632142
33	0.453258268
34	0.4506554048
35	0.4483303407
36	0.4465322167
37	0.4445939936
38	0.4428489502
39	0.4411915506
40	0.4395067597
41	0.4379837807
42	0.4367908282
43	0.4357911667
44	0.4343930491
45	0.433013911
46	0.4315704534
47	0.4304639683
48	0.4295107969
49	0.4287095537
50	0.4274981644
51	0.4265044482
52	0.4255350021
53	0.4250058917
54	0.424215098
55	0.4236661474
56	0.4229043583
57	0.4222189917
58	0.4214618227
59	0.4207140878
60	0.4202405841
61	0.4197192903
62	0.419089201
63	0.4185579552
64	0.4181280918
65	0.4176063349
66	0.4171284019
67	0.4167226202
68	0.4161850055
69	0.4157022821
70	0.4152949827
71	0.4150123163
72	0.4145970088
73	0.4143012692
74	0.4140499419
75	0.4135175026
76	0.4130636049
77	0.4126932707
78	0.4123996961
79	0.4121720238
80	0.4118436503
81	0.4114630425
82	0.411100634
83	0.4108072885
84	0.4103437801
85	0.4099430047
86	0.4096735071
87	0.4095563292
88	0.4090750053
89	0.4089235748
90	0.4086105871
91	0.4085450099
92	0.4084067954
93	0.4081670923
94	0.407955975
95	0.4079131228
96	0.4074327554
97	0.4072355205
98	0.407107596
99	0.4069041666
100	0.4068697052
101	0.4066795072
102	0.4064587892
103	0.4061145703
104	0.4059967908
105	0.4058418681
106	0.4056057415
107	0.4054364814
108	0.4052535836
109	0.4049938223
110	0.4048563116
111	0.4047185803
112	0.4045932286
113	0.4042971448
114	0.404092814
115	0.4039504313
116	0.4038682162
117	0.4036008417
118	0.403554365
119	0.4033491971
120	0.4030948272
121	0.4030417529
122	0.4029031197
123	0.4027236764
124	0.4026597728
125	0.4026129575
126	0.4024479621
127	0.4023356929
128	0.4022482161
129	0.4020896822
130	0.4019641824
131	0.4017914833
132	0.4017201976
133	0.4016269359
134	0.4015509618
135	0.4015165267
136	0.4014591709
137	0.4012999925
138	0.401125873
139	0.401019556
140	0.4008129961
141	0.4006823074
142	0.4006014294
143	0.4005117338
144	0.4004485875
145	0.4002676658
146	0.4002347686
147	0.4000825047
148	0.3999477694
149	0.3997883884
150	0.399667846
151	0.3996678456
152	0.3995279102
153	0.3993460469
154	0.3991633859
155	0.3989981606
156	0.3989218935
157	0.3988314806
158	0.3987606227
159	0.3986497487
160	0.3984973232
161	0.3983244085
162	0.3982781055
163	0.3982584996
164	0.3981701717
165	0.3980872421
166	0.3980433462
167	0.3980100448
168	0.3978887825
169	0.3978867657
170	0.3977566434
171	0.397658812
172	0.3976101798
173	0.3975406484
174	0.3974347436
175	0.397420116
176	0.3973416413
177	0.397314247
178	0.3973142448
179	0.3972460956
180	0.3970945791
181	0.3970263635
182	0.3970071989
183	0.3968859656
184	0.3967898093
185	0.3967662721
186	0.3966126747
187	0.3965039776
188	0.3964165685
189	0.3963038335
190	0.3962466178
191	0.3961883547
192	0.3961507802
193	0.3960691607
194	0.3959139157
195	0.3958144292
196	0.3957369923
197	0.3955906261
198	0.395471016
199	0.3954255282
200	0.3952906048
201	0.3952715346
202	0.3952566526
203	0.3952140399
204	0.3950962599
205	0.3950366273
206	0.3949807975
207	0.3948496709
208	0.394769035
209	0.394715025
210	0.3946794207
211	0.3946112254
212	0.3946112254
213	0.3945676004
214	0.3944177507
215	0.3943289541
216	0.3942541984
217	0.3941986783
218	0.3941440915
219	0.3940505201
220	0.3939598273
221	0.3939575346
222	0.3939028751
223	0.3938650971
224	0.3938512846
225	0.3938494412
226	0.3938223613
227	0.3938141096
228	0.3937646028
229	0.3936874731
230	0.3935540058
231	0.3934896099
232	0.3934304585
233	0.3933858061
234	0.3932885043
235	0.393116376
236	0.393087024
237	0.3930784951
238	0.3930476109
239	0.3929329571
240	0.3928873595
241	0.3928017951
242	0.392792256
243	0.3926906892
244	0.3925111906
245	0.3924843525
246	0.3923827722
247	0.3923256799
248	0.3923120459
249	0.3922608789
250	0.3922080981
251	0.3921634093
252	0.3921245914
253	0.3920007953
254	0.3919861327
255	0.3919504135
256	0.3918957158
257	0.3917846053
258	0.3916891408
259	0.3915376873
260	0.3914559836
261	0.3913801998
262	0.3912939626
263	0.3912210662
264	0.3910886719
265	0.3910318771
266	0.3909939487
267	0.3909252943
268	0.3908681998
269	0.3908263309
270	0.390811455
271	0.3907645415
272	0.3906515274
273	0.3904975757
274	0.3904097436
275	0.3903894071
276	0.390237133
277	0.3902233669
278	0.3901678414
279	0.3900958843
280	0.3900557667
281	0.3900529494
