iter	Passed	Remaining
0	14	7006
1	51	12828
2	69	11475
3	92	11412
4	105	10458
5	121	9976
6	150	10623
7	177	10941
8	195	10639
9	211	10353
10	230	10230
11	235	9558
12	243	9135
13	253	8803
14	259	8386
15	268	8114
16	276	7863
17	285	7646
18	294	7454
19	303	7295
20	313	7142
21	322	7004
22	331	6870
23	337	6702
24	346	6579
25	355	6474
26	364	6381
27	372	6280
28	381	6189
29	390	6123
30	399	6040
31	405	5923
32	412	5836
33	420	5766
34	429	5708
35	438	5649
36	446	5586
37	453	5518
38	463	5473
39	470	5411
40	477	5346
41	485	5294
42	493	5248
43	500	5185
44	509	5148
45	518	5114
46	526	5075
47	535	5041
48	543	5006
49	551	4967
50	559	4925
51	567	4888
52	575	4857
53	584	4828
54	592	4794
55	597	4740
56	605	4706
57	614	4680
58	621	4648
59	632	4637
60	639	4600
61	646	4567
62	654	4538
63	661	4507
64	669	4477
65	677	4453
66	686	4435
67	692	4399
68	699	4371
69	708	4349
70	714	4317
71	721	4291
72	729	4269
73	738	4250
74	746	4231
75	755	4214
76	764	4199
77	772	4181
78	780	4161
79	787	4136
80	796	4119
81	803	4097
82	813	4084
83	830	4112
84	837	4089
85	846	4073
86	853	4053
87	859	4021
88	867	4007
89	872	3976
90	880	3956
91	907	4023
92	917	4013
93	924	3992
94	931	3970
95	938	3951
96	946	3933
97	954	3915
98	962	3898
99	970	3883
100	975	3852
101	984	3841
102	991	3822
103	999	3806
104	1005	3783
105	1013	3768
106	1025	3767
107	1035	3756
108	1039	3729
109	1048	3719
110	1057	3706
111	1066	3694
112	1074	3678
113	1082	3666
114	1091	3653
115	1098	3636
116	1104	3616
117	1112	3600
118	1120	3586
119	1129	3577
120	1139	3568
121	1145	3550
122	1154	3539
123	1164	3530
124	1169	3507
125	1173	3483
126	1182	3472
127	1186	3448
128	1195	3438
129	1204	3427
130	1212	3416
131	1222	3408
132	1230	3395
133	1237	3381
134	1245	3367
135	1252	3352
136	1259	3338
137	1267	3324
138	1276	3314
139	1284	3303
140	1292	3292
141	1300	3278
142	1306	3262
143	1315	3251
144	1323	3239
145	1331	3227
146	1339	3217
147	1348	3207
148	1357	3197
149	1365	3185
150	1372	3172
151	1376	3151
152	1383	3138
153	1392	3128
154	1401	3118
155	1410	3109
156	1417	3096
157	1425	3086
158	1432	3073
159	1441	3063
160	1450	3053
161	1459	3044
162	1465	3030
163	1472	3017
164	1479	3002
165	1485	2989
166	1493	2978
167	1501	2968
